1776192,"[2514143386, 1024025121, 4078218285, 3025444328, 1823369186, 2972428928, 2877501688]"
5161061,"[2169802745, 319129729, 3272920269, 737935339, 2027962693, 2098674667, 1652007005, 861989233, 1926865450, 1538046875]"
7336598,"[2428145712, 380501274, 1820029797, 1980837904, 1501679119, 4125420656]"
7514340,"[2696649330, 507707719, 901144614, 3841392405, 854823005, 4134671058]"
15390083,"[955398943, 771676713, 2529072432, 1361307272, 2643833505, 633659090, 907302600]"
16454810,"[665321720, 1779618386, 968434069, 2006570293, 761140108, 589257919]"
18236457,"[452781702, 2353399295, 1703679230, 2077156568, 3004007968, 3214494361, 3553950281]"
20018153,"[3583332424, 3592182997, 63412025, 464565286, 2410772923, 2053692105]"
23465780,"[3017074183, 955398943, 1600413013, 3807695143, 602394192, 2529072432, 2414358105]"
30355949,"[955398943, 3404987729, 661460159, 4294209504, 438768882, 1773230862, 2860418664]"
33509612,"[2428145712, 4203627753, 1860511950, 966971643, 2668074570, 794450376]"
35565661,"[2139975650, 275437483, 378408397, 3655418763, 2036167774, 652541886]"
37106093,"[2692070381, 3306999925, 3336783567, 1617391894, 4096532695, 2198898969, 3931717290]"
38395056,"[3415281246, 1580455386, 200617654, 3252432592, 1278585786, 677485601]"
43826519,"[4292059849, 605300738, 4205267137, 1788874248, 4229681081, 2378630297, 680476316]"
43965236,"[1900273727, 2725164213, 559618821, 228340462, 3395117104, 4082601014, 2806565970, 2923175068]"
48222018,"[496131340, 2163997791, 758289588, 2347297427, 2489566262]"
50521271,"[982322965, 1570912780, 3211023626, 1070478164, 1667438718, 1927775201]"
57783108,"[861118590, 1600413013, 1858978872, 1143513079, 2355400133, 1872379613, 3735036412, 2529072432, 1082833698, 2860418664, 3275248026]"
65116502,"[4264661415, 1467809542, 2810232094, 4227721355, 1966347593, 894829625]"
67355582,"[3218113289, 1183309937, 2740101266, 3501300823, 3022995002, 3611646220, 2975829844]"
71092144,"[1458428999, 3494003218, 3735036412, 289899674, 3676729604, 1319656469]"
73830292,"[3199229320, 130493588, 1613671569, 4242816413, 2051603944, 3790866767]"
74368740,"[1801175686, 11077318, 435473446, 3886183264, 2090317215, 73584564]"
74504185,"[955398943, 771676713, 1361307272, 2643833505, 633659090, 907302600, 2529072432, 278651783, 1148012652]"
75001773,"[1716470668, 1902753965, 2621315686, 10609218, 1892018889]"
