1776192,"[1823369186, 2972428928, 2514143386, 4078218285, 3025444328, 2877501688, 1024025121]"
5161061,"[1926865450, 737935339, 1652007005, 319129729, 2169802745, 3272920269, 2098674667, 1538046875, 2027962693, 861989233]"
7336598,"[4125420656, 1820029797, 1980837904, 380501274, 1501679119, 2428145712]"
7514340,"[4134671058, 901144614, 854823005, 507707719, 2696649330, 3841392405]"
15390083,"[2529072432, 955398943, 771676713, 907302600, 1361307272, 633659090, 2643833505]"
16454810,"[2006570293, 968434069, 665321720, 1779618386, 589257919, 761140108]"
18236457,"[3214494361, 2077156568, 3004007968, 3553950281, 452781702, 2353399295, 1703679230]"
20018153,"[3592182997, 2410772923, 63412025, 3583332424, 464565286, 2053692105]"
23465780,"[2529072432, 955398943, 1600413013, 602394192, 3807695143, 3017074183, 2414358105]"
30355949,"[955398943, 2860418664, 3404987729, 438768882, 661460159, 1773230862, 4294209504]"
33509612,"[966971643, 4203627753, 1860511950, 2668074570, 794450376, 2428145712]"
35565661,"[2036167774, 378408397, 275437483, 3655418763, 2139975650, 652541886]"
37106093,"[3306999925, 2692070381, 3931717290, 3336783567, 4096532695, 2198898969, 1617391894]"
38395056,"[677485601, 3252432592, 200617654, 1278585786, 3415281246, 1580455386]"
43826519,"[4292059849, 4205267137, 2378630297, 4229681081, 605300738, 1788874248, 680476316]"
43965236,"[228340462, 1900273727, 4082601014, 3395117104, 2923175068, 2725164213, 559618821, 2806565970]"
48222018,"[758289588, 2347297427, 2163997791, 496131340, 2489566262]"
50521271,"[1667438718, 1927775201, 3211023626, 982322965, 1570912780, 1070478164]"
57783108,"[2529072432, 1600413013, 861118590, 3735036412, 2860418664, 3275248026, 1143513079, 1858978872, 1872379613, 1082833698, 2355400133]"
65116502,"[1966347593, 1467809542, 4227721355, 4264661415, 2810232094, 894829625]"
67355582,"[2975829844, 3611646220, 3218113289, 3501300823, 3022995002, 1183309937, 2740101266]"
71092144,"[3735036412, 3494003218, 289899674, 3676729604, 1458428999, 1319656469]"
73830292,"[2051603944, 4242816413, 1613671569, 3790866767, 3199229320, 130493588]"
74368740,"[435473446, 11077318, 73584564, 2090317215, 3886183264, 1801175686]"
74504185,"[2529072432, 955398943, 771676713, 907302600, 1361307272, 633659090, 2643833505, 1148012652, 278651783]"
75001773,"[1892018889, 1716470668, 2621315686, 10609218, 1902753965]"
75436593,"[997929928, 1047967283, 2653923514, 4172382349, 934970634, 3033694655]"
76313799,"[2642707561, 1469291456, 1203717384, 2149464820, 673098017, 268233790, 1269035551]"
77627621,"[3826292515, 2429151401, 3258757385, 3258757385, 4269687196, 724969489]"
80365330,"[218221722, 3302719635, 514153585, 2431677639, 559618821, 2806565970]"
81053968,"[2153037761, 3963798906, 1544421101, 1767325091, 3289683998, 2465528861]"
87299174,"[3789029184, 4002798045, 3819567837, 1271330281, 3680209340]"
92401917,"[949540452, 2823343043, 3472004495, 693857041, 2108188468, 1423412400]"
93148987,"[955398943, 1600413013, 602394192, 2235632935, 2382247676, 518477191, 3326401128]"
94142526,"[990256291, 2757258727, 467130966, 1356197621, 873255426, 551112142, 1545194399]"
96920130,"[1241270051, 2429675854, 450130761, 2628680570, 1776393554, 615488222]"
97062150,"[2498491194, 2073609284, 3950589515, 3849306291, 268233790, 2007279414]"
99141124,"[2803078645, 299139894, 3488277311, 2724941310, 2953583082, 392383010, 3180156897]"
103955826,"[2643833505, 2130616732, 3949611603, 424521338, 3726270158, 178831464, 3581275802]"
105347632,"[2679521343, 3376050735, 1558280207, 2708627209, 1767661989, 738076221, 2182496817, 2626832189, 186107339, 4001241592, 366857842, 2257585691, 3525619764, 3892571955]"
109457319,"[955398943, 1600413013, 1532377761, 2776566965, 1832462541, 1044854627, 426902061, 3632072502]"
110128780,"[2529072432, 955398943, 1532377761, 3565166403, 3855266116, 1390707377]"
110342379,"[861118590, 633659090, 2130616732, 784509544, 982153847, 252563955, 3295999782, 3770119781, 642644408, 97217712, 1641491432, 1530709861, 3183605169]"
113021847,"[955398943, 2643833505, 1334001859, 2214347761, 424727744, 1604908519, 2389263741, 2933717037, 278651783]"
118243744,"[718107120, 3271725028, 2816622892, 259600765, 196924436, 2755327289, 3731778741]"
122743553,"[152418051, 1528500344, 3922290830, 1845786756, 44607617, 3281130769]"
128581247,"[2153037761, 3754394539, 1386404286, 4219761316, 498238691, 3022634670]"
130441156,"[1012343640, 2277754128, 2856764723, 642907744, 3251218411, 1810485930]"
131621903,"[900803265, 2873249283, 1731351853, 1788874248, 496131340, 2509086570, 2218325768]"
137002204,"[4125420656, 3251813967, 1812117472, 1718413929, 1501679119, 2428145712]"
138126692,"[952519340, 1587116147, 312761834, 3849306291, 3048578499, 268233790, 2007279414]"
139480407,"[955398943, 1532377761, 3802870894, 1779648453, 4123796524, 4260484947, 1993111201, 3632072502]"
141849067,"[952519340, 3849306291, 3048578499, 268233790, 1269035551, 2007279414]"
146035325,"[2153037761, 1520335024, 486546531, 3470999302, 599395378, 2906696294, 3113660150]"
147627126,"[2698678033, 3504788955, 3702049129, 3488779034, 4136385770, 703370904]"
149914134,"[1076364848, 1816813281, 2498491194, 3849306291, 1269035551, 2007279414]"
151534919,"[907302600, 1361307272, 2133183406, 2643833505, 4004100709, 3913403716, 2401458775]"
