104070,207614139,0,7,40,1,"",10,1,3809403202,"Toronto","ON","","Canada"
214416,3601169721,0,7,27,2,"Toronto  Ontario",15,1,2413718807,"","","",""
1204184,2774418078,0,14,19,2,"Kudus",22,1,1959314866,"Manchester","","M16 0RA","United Kingdom"
1921275,4092048823,0,7,20,1,"Tempe  Arizona",23,1,1780621110,"Denver","CO","","United States"
3716263,3205024967,0,9,18,2,"Santo Domingo  Dominican Republic",10,1,2647473934,"","","",""
4358089,4128087249,0,7,14,1,"Los Angeles  California",19,1,3449072301,"","","",""
4364520,2798769441,0,9,16,2,"Santo Domingo  Dominican Republic",26,1,3048660667,"New York","NY","","United States"
4364520,1185909505,0,9,22,1,"New York  New York",6,1,3048660667,"New York","NY","","United States"
6745734,3215198745,0,7,27,1,"Yorba Linda  CA",27,1,485156838,"Newport Beach","CA","92660","United States"
6815556,2828200780,0,14,18,1,"  ",22,1,1140839067,"","","",""
6912101,2515029406,0,8,35,1,"Los Angeles  California",27,1,3081019815,"Baltimore","MD","","United States"
6941167,2875543516,0,7,30,2,"",15,1,3414993084,"Toronto","ON","","Canada"
8689602,3579660533,1,7,22,1,"Tucson  Arizona",23,1,2090399556,"Whittier","CA","","United States"
8816449,1427626481,0,7,23,2,"Los Angeles  California",27,1,2888015356,"","","",""
9032213,2296487275,0,7,23,1,"Phoenix  Arizona",23,1,3643822338,"","","","Mexico"
10609218,75001773,0,5,32,1,"Los Angeles  California",22,1,3126582230,"Phnom Penh","","12206","Cambodia"
10609218,2231456394,0,7,28,1,"Phnom Penh",22,1,3126582230,"Phnom Penh","","12206","Cambodia"
10609218,2384215566,0,7,15,1,"Phnom Penh",22,1,3126582230,"Phnom Penh","","12206","Cambodia"
10609218,1751890352,0,7,23,1,"Phnom Pen  Phnum Penh  Cambodia",22,1,3126582230,"Phnom Penh","","12206","Cambodia"
11077318,74368740,0,7,35,2,"Pasig",26,1,2806278539,"London","","EC2A 3NZ","United Kingdom"
12957499,2231456394,0,7,28,1,"Phnom Penh",22,1,1367843566,"","","",""
13620896,1236967132,0,8,19,2,"Santo Domingo  Dominican Republic",1,1,2600428888,"","","",""
13620896,2069616722,0,9,22,1,"Santo Domingo  Dominican Republic",10,1,2600428888,"","","",""
14945235,1322959747,0,7,27,1,"Rose Belle  Grand Port  Mauritius",9,1,3244233639,"Milan","","","Italy"
14945235,1929993059,0,7,16,2,"Triolet  Mauritius",9,1,3244233639,"Milan","","","Italy"
15160790,648323757,0,7,23,2,"Jakarta  Indonesia",22,1,2200952411,"Surabaya","","","Indonesia"
16744769,3387377708,0,7,27,2,"Los Angeles  California",27,1,1916832025,"Montebello","CA","","United States"
18155167,2386208218,0,7,29,2,"Toronto  Ontario",15,1,1432430623,"","","",""
18401271,3462246595,0,14,26,1,"Langsa",22,1,4226209888,"","","",""
18401271,3462246595,0,14,26,1,"Langsa",22,1,4226209888,"","","",""
18463055,840892479,0,14,18,1,"Medan  Indonesia",22,1,1016098580,"","","",""
18501982,2269787345,0,7,33,1,"",10,1,415464198,"","","",""
19066266,3211659078,0,7,22,2,"Waterbury  Connecticut",15,1,1936470979,"Waterbury","CT","","United States"
19861336,1571871667,0,14,17,1,"Medan  Indonesia",22,1,1692451009,"","","",""
19861336,1467753127,0,14,19,2,"Medan  Indonesia",22,1,1692451009,"","","",""
19969040,3601169721,0,7,27,2,"Toronto  Ontario",15,1,1557404606,"Beaver Falls","PA","","United States"
