104070,4282954307,0,7,20,1,15,3,3809403202,0
1174034,4046490355,1,7,20,1,10,2,3787670973,0
1642998,1747042580,0,7,35,2,15,3,3600040813,0
1680138,1948945052,0,14,20,1,22,2,1329876,0
1921275,4268611130,0,7,26,1,15,2,1780621110,0
1921275,3285425249,0,7,39,1,23,3,1780621110,0
3952341,910947719,0,7,36,1,15,2,700725419,0
3952341,910947719,0,7,36,1,15,2,700725419,0
4338728,395305791,1,7,38,2,27,2,1600457533,0
4364520,4141924620,0,8,16,2,10,2,3048660667,0
4364520,4120847672,0,8,16,1,11,2,3048660667,10
4364520,2940390801,0,9,20,1,10,3,3048660667,10
4612722,85640691,1,7,24,2,10,2,3858039119,15
6437434,2557219570,0,7,31,2,15,2,1572364373,0
6552143,2916716118,0,7,22,1,15,2,580299068,0
6996239,4111854243,0,8,35,1,27,2,1187038810,10
7840377,2202079852,0,7,20,1,23,2,885985981,0
8259670,2895220130,1,7,34,1,10,2,471735793,0
8559115,1438134738,0,7,19,1,14,1,2031235012,0
10514104,1747091728,0,14,16,1,24,2,661155632,0
10609218,3471761709,0,7,33,1,22,2,3126582230,10
11608112,206173756,0,14,20,2,26,3,374174933,0
12241688,4057602883,0,7,45,1,27,3,4131450969,0
12883793,2202079852,0,7,20,1,23,2,3382336443,10
12957499,1711604959,0,7,25,1,22,2,1367843566,0
13466907,1788256739,0,14,24,1,22,1,741492722,0
13620896,1130967213,0,8,19,2,26,2,2600428888,0
13620896,947750317,0,9,17,2,10,2,2600428888,0
13620896,588924229,0,8,20,2,26,2,2600428888,0
13620896,168764910,0,8,16,2,12,2,2600428888,0
13620896,1221420614,0,9,19,2,26,2,2600428888,0
13620896,2356937947,0,9,19,2,6,2,2600428888,0
13620896,1703562892,0,8,19,2,6,2,2600428888,0
13620896,2444212053,0,8,16,2,10,2,2600428888,0
13857128,1320099877,0,12,28,1,9,3,1321252043,2
13857128,3863123259,0,12,23,1,9,3,1321252043,10
13857128,4181468602,0,12,28,2,9,3,1321252043,2
14211409,2858284447,0,7,20,1,15,2,2747368729,0
14945235,2440671055,0,7,28,2,14,2,3244233639,0
16158771,3943175229,0,5,47,2,15,2,4274718940,0
16158771,567820539,0,7,42,2,10,2,4274718940,0
16336968,156584666,0,14,24,1,22,2,3106243701,0
16744769,3477857993,0,9,29,1,27,2,1916832025,0
17054803,1672939792,1,7,103,1,15,2,2256744607,10
17653480,3601021922,1,7,19,2,27,2,1012107378,0
17671643,2626409021,0,7,42,1,15,2,4266134467,0
17874489,891035674,0,7,44,2,23,2,3751859198,0
18300872,1788256739,0,14,24,1,22,1,3657019443,0
18386304,3788009173,0,7,20,1,23,2,1461227764,0
18690082,2885761776,0,7,19,1,26,3,2814508516,0
18751478,3095718598,0,7,18,2,15,2,2662255530,0
19341280,1548216840,0,7,22,1,23,2,1130912821,0
19652138,3956887319,0,14,35,1,27,3,1095199937,2
19652138,2194245277,0,7,23,1,24,2,1095199937,2
19658160,1280283349,0,8,16,2,10,3,2190909007,2
19861336,2217567238,1,14,21,1,22,2,1692451009,0
20272307,2394083016,0,5,24,1,5,2,2830578852,0
20381932,1372630997,0,7,28,1,15,3,3954301999,0
21534034,863771353,0,7,34,1,26,2,1933568411,0
21987917,4073053389,0,7,24,1,19,2,1582776696,0
25062233,3507534894,0,14,20,1,22,2,1502218071,0
25570068,3734794530,0,7,52,2,15,2,2983045066,0
25669535,20041353,0,14,21,1,22,2,353923846,0
25800108,2862718608,0,7,26,1,14,3,3142458998,0
26815716,1528359455,0,14,18,1,22,1,187785727,0
26997605,1932371532,0,14,21,1,22,2,431871245,0
27702695,2788859591,0,14,18,1,22,2,880473003,2
27702695,3038024163,0,14,21,1,22,3,880473003,0
27733025,2298623317,0,14,23,1,22,2,2023601765,12
28242790,4178291537,0,12,22,1,1,2,2982197530,0
28573792,3035544663,0,7,33,1,10,2,72399717,0
29180020,4220962429,0,14,23,1,22,3,3810349085,0
29800776,4075466480,0,5,34,1,23,1,1022518718,0
30179042,3310268237,0,7,32,1,22,3,2819832612,0
30650936,605903903,0,14,17,1,22,2,314423346,0
31247346,2493952533,0,7,36,2,27,2,641912619,0
31456310,3697489067,0,14,20,1,22,2,313042554,0
33704537,326930040,0,7,40,1,15,2,415464198,0
33704537,326930040,0,7,40,1,15,2,415464198,0
33770938,2217853337,0,7,20,1,15,3,186148939,0
34370465,1372630997,0,7,28,1,15,2,785141204,0
34564349,738324703,0,7,25,1,10,3,1692956626,0
35065426,491792092,0,14,21,1,22,2,2938352224,0
35091389,33930603,0,21,30,1,26,2,927931159,0
35305848,395305791,1,7,38,2,27,2,1689405772,0
36010741,1876906939,0,7,25,1,16,2,723247977,0
36941495,4122019703,0,8,16,2,10,3,3707237616,2
36941495,1572816023,0,8,20,1,19,3,3707237616,2
36941495,1566021834,0,8,17,2,14,2,3707237616,2
36941495,3965529047,0,8,30,1,10,2,3707237616,2
36941495,3123500032,0,8,21,2,33,3,3707237616,0
37049595,2559754952,0,7,31,1,10,2,2734820748,0
37290993,3142327997,0,7,25,1,9,2,3543563229,0
37626417,4001997352,0,7,23,1,27,2,50637007,0
37732239,344313409,0,7,28,1,27,2,2453188968,0
38211426,1793590520,0,7,20,2,10,3,415464198,0
38282985,3877440809,0,14,17,2,22,2,704198995,0
38825896,738324703,1,7,25,1,10,3,2452640292,0
39798051,2949537983,0,7,36,2,15,3,609687217,0
40254649,10329108,0,14,21,2,22,3,4118514022,10
40254649,1543396188,0,14,27,1,22,3,4118514022,0
40477420,3519657066,0,14,23,1,22,3,1988800235,2
40744964,3616798795,0,7,28,2,27,2,2921397339,10
41330505,2209002289,0,7,34,2,15,2,1213663245,0
41623329,3180412264,0,7,30,2,15,2,3858039119,10
41832525,3961511121,0,7,23,2,10,2,2115629025,10
42193426,180779799,0,14,19,2,22,3,3552253697,0
42204521,3054205479,0,7,21,1,23,2,3076890398,0
43133208,3514195773,0,7,39,1,27,1,1132240149,0
43564092,447244169,0,23,25,1,33,2,2601988790,0
43776105,4075466480,0,5,34,1,23,1,2504032099,0
44040604,2837984655,0,7,23,2,27,2,3444551152,0
44093924,4106927042,0,7,30,2,27,2,3080466771,10
44096506,3287429621,0,9,20,1,27,3,1793703108,0
44607617,681010476,0,12,16,1,9,2,1158765989,0
44607617,2458068456,1,12,17,2,9,2,1158765989,0
44607617,2458429643,0,12,19,2,27,2,1158765989,0
